Ticker
CONSTITUENT CODE
AEFES.IS
AGHOL.IS
AKBNK.IS
AKSA.IS
AKSEN.IS
ALARK.IS
ALTNY.IS
ANSGR.IS
ARCLK.IS
ASELS.IS
ASTOR.IS
BALSU.IS
BIMAS.IS
BRSAN.IS
BRYAT.IS
BSOKE.IS
BTCIM.IS
CANTE.IS
CCOLA.IS
CIMSA.IS
CVKMD.IS
CWENE.IS
DAPGM.IS
DOAS.IS
DOHOL.IS
DSTKF.IS
ECILC.IS
EFOR.IS
EKGYO.IS
ENERY.IS
ENJSA.IS
ENKAI.IS
EREGL.IS
EUPWR.IS
EUREN.IS
FENER.IS
FROTO.IS
GARAN.IS
GENIL.IS
GESAN.IS
GLRMK.IS
GRSEL.IS
GRTHO.IS
GSRAY.IS
GUBRF.IS
HALKB.IS
HEKTS.IS
ISCTR.IS
ISMEN.IS
IZENR.IS
KCHOL.IS
KLRHO.IS
KONTR.IS
KRDMD.IS
KTLEV.IS
KUYAS.IS
MAGEN.IS
MAVI.IS
MGROS.IS
MIATK.IS
MPARK.IS
OBAMS.IS
ODAS.IS
OTKAR.IS
OYAKC.IS
PAHOL.IS
PASEU.IS
PATEK.IS
PETKM.IS
PGSUS.IS
PSGYO.IS
QUAGR.IS
RALYH.IS
REEDR.IS
SAHOL.IS
SARKY.IS
SASA.IS
SISE.IS
SKBNK.IS
SOKM.IS
TABGD.IS
TAVHL.IS
TCELL.IS
THYAO.IS
TKFEN.IS
TOASO.IS
TRALT.IS
TRENJ.IS
TRMET.IS
TSKB.IS
TTKOM.IS
TUKAS.IS
TUPRS.IS
TUREX.IS
TURSG.IS
ULKER.IS
VAKBN.IS
VESTL.IS
YKBNK.IS
ZOREN.IS
A1CAP.IS
A1YEN.IS
ACSEL.IS
ADEL.IS
ADESE.IS
ADGYO.IS
AFYON.IS
AGESA.IS
AGROT.IS
AHGAZ.IS
AHSGY.IS
AKCNS.IS
AKENR.IS
AKFGY.IS
AKFIS.IS
AKFYE.IS
AKGRT.IS
AKHAN.IS
AKSGY.IS
AKSUE.IS
ALBRK.IS
ALCAR.IS
ALCTL.IS
ALFAS.IS
ALGYO.IS
ALKA.IS
ALKIM.IS
ALKLC.IS
ALVES.IS
ANELE.IS
ANGEN.IS
ANHYT.IS
ARASE.IS
ARDYZ.IS
ARENA.IS
ARFYE.IS
ARMGD.IS
ARSAN.IS
ARTMS.IS
ARZUM.IS
ASGYO.IS
ASUZU.IS
ATAKP.IS
ATATP.IS
ATATR.IS
AVGYO.IS
AVHOL.IS
AVOD.IS
AVPGY.IS
AYCES.IS
AYDEM.IS
AYEN.IS
AYGAZ.IS
AZTEK.IS
BAGFS.IS
BAHKM.IS
BANVT.IS
BARMA.IS
BASGZ.IS
BAYRK.IS
BEGYO.IS
BERA.IS
BESLR.IS
BESTE.IS
BEYAZ.IS
BFREN.IS
BIENY.IS
BIGCH.IS
BIGEN.IS
BIGTK.IS
BINBN.IS
BINHO.IS
BIOEN.IS
BJKAS.IS
BLCYT.IS
BLUME.IS
BMSCH.IS
BMSTL.IS
BNTAS.IS
BOBET.IS
BORLS.IS
BORSK.IS
BOSSA.IS
BRISA.IS
BRKVY.IS
